Артикул;Наименование;ЦенаСоСкидкой;Цена;Скидка;ОстатокНаСкладе
1362;1362 GIPFEL Кастрюля SIGNO 20x12 см - 3,5 л. со стеклянной крышкой (нерж. сталь). Индукционное дно с;21 230;30331;30;12
1363;1363 GIPFEL Кастрюля SIGNO 24x13,5 см - 6,0 л (нерж. сталь);27 810;39727;30;13
1364;1364 GIPFEL Кастрюля SIGNO 26x20 см - 10,6 л (нерж. сталь);32 400;46281;30;12
1366;1366 GIPFEL Кастрюля VICTORY 16x7.5 см / 1.5 л с крышкой (нерж. сталь);9 010;13866;35;1
1367;1367 GIPFEL Кастрюля VICTORY 18x8.5 см / 2.1 л с крышкой (нерж. сталь);10 220;15722;35;1
1368;1368 GIPFEL Кастрюля VICTORY 20x9.5 см / 3.0 л с крышкой (нерж. сталь);11 640;17907;35;1
1371;1371 GIPFEL Дуршлаг VEGA 16 см (нерж.сталь);9 220;14180;35;14
1372;1372 GIPFEL Дуршлаг VEGA 24 см (нерж.сталь);12 280;18892;35;2
1373;1373 GIPFEL Кастрюля FORUM 16x9 см / 1,8 л со стеклянной крышкой, индукционное дно с медной вставкой;15 930;24504;35;5
1374;1374 GIPFEL Кастрюля FORUM 20x11 см / 3,7 л со стеклянной крышкой (нерж. сталь). Индукционное дно с;20 170;31030;35;2
1375;1375 GIPFEL Кастрюля FORUM 24x12 см / 5,4 л со стеклянной крышкой (нерж. сталь);24 060;37014;35;1
1376;1376 GIPFEL Кастрюля ERA 16x9 см / 1,8 л со стеклянной крышкой (нерж. сталь);11 590;17836;35;4
1377;1377 GIPFEL Кастрюля ERA 18x10 см / 2,5 л со стеклянной крышкой (нерж. сталь);13 360;20549;35;2
1378;1378 GIPFEL Кастрюля ERA 20x11 см  3,0 л со стеклянной крышкой, индукционное до с медной вставкой (н;15 030;23119;35;1
1379;1379 GIPFEL Кастрюля ERA 24x13 см  5,5 л со стеклянной крышкой (нерж. сталь). Индукционное дно с мед;18 860;29017;35;1
1383;1383 GIPFEL Дуршлаг FEDERICA с силиконовыми ручками и ножками, диаметр 20см, выс;10 570;16265;35;4
1396-S;1396-S STAHLBERG Ковш с крышкой 16х9,5 см 1,5 л с индукционным дном;16 910;26018;35;19
1397-S;1397-S STAHLBERG Кастрюля со стальной крышкой 20х11 см 3,0 л (нерж.сталь);22 350;34386;35;6
1399-S;1399-S STAHLBERG Кастрюля со стальной крышкой 24х7 см 3,0 л (нерж.сталь);26 150;40227;35;1
1400-S;1400-S STAHLBERG Вставка в кастрюлю для варки на пару 24х11 см 5,0 л (нерж.сталь;14 830;22819;35;6
1405;1405 GIPFEL Сковорода для жарки MAGNUM 24 см (алюминий с керамическим антипригар;11 400;17536;35;6
1406;1406 GIPFEL Сковорода для жарки MAGNUM 26 см (алюминий с керамическим антипригар;12 890;19835;35;10
1407;1407 GIPFEL Сковорода для жарки MAGNUM 28 см (алюминий с керамическим антипригар;15 940;24519;35;2
1408;1408 GIPFEL Набор SERENA: 3 Сковороды 20см, 24см, 28см, (штампованный ал);17 570;27032;35;4
1409;1409 GIPFEL Сковорода-гриль ALPHA со съемной ручкой 26х26х4,6 см  (литой аллюмин;12 490;19221;35;3
1417;1417 GIPFEL Cковорода ERGO 24 см (прессованный алюминий с антипригарным покрытие;6 070;9339;35;3
1418;1418 GIPFEL Cковорода ERGO 28 см (прессованный алюминий с антипригарным покрытие;7 780;11967;35;182
1419;1419 GIPFEL Ковш ALPHA с крышкой со съемной ручкой 16х9,5 см, 1,5 л.  (литой алю;12 100;18607;35;5
1420;1420 GIPFEL Сковорода AROMA 28х5 см (кованый алюминий с антипригарным 2-слойным керамическим покрыти;8 190;12595;35;3
1429;1429 GIPFEL Кастрюля ALPHA с крышкой со съемной ручкой 20х10,5 см, 2,8 л. (литой;16 120;24804;35;33
1430;1430 GIPFEL Кастрюля ALPHA с крышкой со съемными ручками 24х13 см, 5 л. ((литой;19 160;29474;35;1
1437;1437 GIPFEL  Сковорода 20 см Teflon Classic;8 770;13495;35;6
1438;1438 GIPFEL Сковорода ALPHA со съемной ручкой 24х5 см  (литой аллюминий с керами;10 600;16308;35;4
1440;1440 GIPFEL Противень-гриль 38х26 см с силиконовыми ручками литой алюминий, инду;14 670;29331;50;46
1447;1447 GIPFEL Сковорода TERRA 24х6,5 см - 2,9 л со ст. крышкой и съемной ручкой;18 710;28788;35;5
1448;1448 GIPFEL Сковорода TERRA 26х7,5 см - 3,9 л со ст. крышкой и съемной ручкой;20 890;32130;35;5
1449;1449 GIPFEL Сковорода TERRA 28х7,5 см - 4,6 л со ст. крышкой и съемной ручкой;23 560;36243;35;3
1460;1460 GIPFEL Сковорода-вок OPTIMA 32х8,0 см /6,4 л;26 900;41383;35;2
1461;1461 GIPFEL Сотейник FOCUS 24х7 см - 3,2 л со съемной ручкой;16 210;24933;35;8
1463;1463 GIPFEL Сковорода д/блинов FOCUS 32х1,7 см съемн/ручк(лит алл с антипр.покр);7 770;25890;70;120
1464;1464 GIPFEL Форма для выпечки блинов 28см (лит аллюм антиприг weilburger NEWTEC);17 580;27046;35;30
1465;1465 GIPFEL  Сотейник FOCUS 28х8 см - 6,3 л со съемной ручкой;19 980;30730;35;2
1466;1466 GIPFEL Сковорода д/блинов FOCUS 24х1,7 см съемн/ручк(лит алл с антипр.покр);13 350;20535;35;11
1467;1467 GIPFEL Сковорода для блинов FOCUS 32x2,1 см со съемной ручкой Материал : ли;18 880;29045;35;42
1470B;1470B GIPFEL Сотейник CHIC 24x8 см - 3,6 л RED COLORс индукционным дном;22 390;34443;35;88
1470C;1470C GIPFEL Сотейник CHIC 24x8 см - 3,6 л GREEN COLOR с индукционным дном;22 390;34443;35;3
1471B;1471B GIPFEL Сотейник CHIC 28x8 см - 4,9 л RED COLOR с индукционным дном;25 670;39484;35;3
1474;1474 GIPFEL Кастрюля CHIC 16x8 см - 1,6 л с индукционным дном;16 290;25061;35;14
1475;1475 GIPFEL Кастрюля CHIC 20x10 см - 3,1 л с индукционным дном (литой алюминий с;19 500;30002;35;2
1475B;1475B GIPFEL Кастрюля CHIC 20x10 см - 3,1 л RED COLOR с индукционным дном;20 220;31102;35;4
1475C;1475C GIPFEL Кастрюля CHIC 20x10 см - 3,1 л GREEN COLOR с индукционным дном;20 220;31102;35;5
1478;1478 GIPFEL Сотейник ALPHA с крышкой со съемными ручками 24х8 см, 2,8 л.  (литой;18 670;28717;35;16
1479;1479 GIPFEL Сотейник ALPHA с крышкой со съемными ручками 28х8,5 см, 4 л.  (литой;21 020;32330;35;7
1480;1480 GIPFEL Набор PROOFET: 3 Сковороды 20см, 24см, 28см со съёмной бакелитовой ручкой, с индукционны;35 010;50008;30;22
1485;1485 GIPFEL Сковорода для блинов 24 см (литой алюминий с антипр покр);7 500;11538;35;9
1486;1486 GIPFEL Сковорода MONTERO 20х5см/1,4 л стекл/крыш съемн/руч (;13 950;21463;35;6
1487;1487 GIPFEL Сковорода MONTERO 24х5 см - 2,2 л (лито аллюминий);16 360;25161;35;5
1488;1488 GIPFEL Сковорода MONTERO 28х6 см - 3,6 л;19 160;29474;35;4
1497;1497 GIPFEL Сковорода со скошенным краем ZENIT 28x5 см - 3,0 л;13 810;21249;35;2
1503;1503 GIPFEL Набор посуды SIGNO 7 пр. (нерж. сталь);62 920;96804;35;16
1509;1509 GIPFEL Набор посуды TERZA 5 пр., индукционное капсульное дно(нерж. сталь), (ковш 1л., кастрюля;27 120;41726;35;4
1533;1533 GIPFEL Набор посуды Melody 8 пр (нерж.сталь) - ковш с крышкой 18х8,5 см, ка;95 200;146455;35;5
1534;1534 GIPFEL Набор посуды SEAGULL 8 пр (нерж.сталь) - кастрюля с крышкой 18х9 см,;85 670;131804;35;1
1537;1537 GIPFEL Набор посуды  GENESIS 10 пр (нерж. сталь) Индукционное дно с медной сердцевиной. Ковш со;92 720;132461;30;43
1538;1538 GIPFEL Набор посуды 10 пр CANTATA (нерж.сталь);99 999;154167;35;33
1539;1539 GIPFEL Набор посуды 10 пр GALA (нерж.сталь) Индукционное дно с медной сердцевиной. Ковш со стек;84 790;121123;30;35
1546;1546 GIPFEL Сковорода (нерж. сталь) размер 24х5,1 см WEILBURGER STONEHENGE;12 940;19906;35;10
1547;1547 GIPFEL Набор посуды FORUM 8 пр. со стальными крышками (нерж. сталь);68 200;104929;35;2
1548;1548 GIPFEL Набор посуды FORUM 8 пр. со стеклянными крышками (нерж. сталь);76 100;108713;30;36
1549;1549 GIPFEL Сковорода (нерж. сталь) размер 28х5,1 см WEILBURGER STONEHENGE;17 710;27246;35;3
1551;1551 GIPFEL Набор посуды VICTORY 8 пр. со стеклянными крышками (нерж. сталь);43 820;67416;35;5
1554;1554 GIPFEL Кастрюля SMART 20х9,5 см 2,6 л с силиконовыми ручками, крышка из жар;17 460;26861;35;13
1555;1555 GIPFEL  Кастрюля SMART 24х11 см 4,2 л с силиконовыми ручками, крышка из жар;20 770;31959;35;56
1556;1556 GIPFEL Кастрюля SMART 28х12,5 см 6,9 л с крышкой с силиконовыми ручками, крышка из жаростойкого;23 900;36771;35;7
1556-S;1556-S STAHLBERG Кастрюля SMART 28х12,5 см 6.9 л с крышкой  с силиконовыми ручка;23 210;35700;35;46
1557;1557 GIPFEL Сковорода SMART 24х7,5 см 2,9 л крышка из жаростойкого стекла с сили;21 550;33158;35;4
1558;1558 GIPFEL Сковорода SMARТ 28х8,5 см 4,5 л крышка из жаростойкого стекла с силиконовым ободком и сп;23 850;36685;35;40
1558-S;1558-S STAHLBERG Сковорода SMARТ 28х8,5 см 4,6 л  крышка из жаростойкого стекла;23 140;35600;35;7
1559;1559 GIPFEL Сковорода SMART 20х5,0 см съемная бакелитовая ручка в форме Эйфелево;11 160;17165;35;86
1562;1562 GIPFEL Кастрюля VERSUS с крышкой 28х12 см 8 л (лит алюминий, антипригарное;17 850;27460;35;1
1567;1567 GIPFEL Кастрюля с крышкой 28 см (литой аллюминий);17 850;27460;35;1
1568;1568 GIPFEL Ковш с крышкой Cronus 16х8 см 1,6 л, литой алюминий с антипригарным;9 330;14351;35;7
1571;1571 GIPFEL Кастрюля  20х10 см 3,1 л, литой алюминий с антипригарным керамически;9 060;13937;35;2
1573-S;1573-S STAHLBERG Кастрюля  28х14 см 8,6 л (литой алюминий с;15 270;23491;35;1
1574;1574 GIPFEL Сковорода GRATIA 28х7 см 4,6 л литой алюминий с антипригарным керам.;12 760;19635;35;1
1577;1577 GIPFEL Сотейник со стеклянной крышкой 24 см х 5,5 см (литой алюминий);16 590;25518;35;20
1578;1578 GIPFEL Сотейник со стеклянной крышкой 28 см х 6,5 см (литой алюминий);19 380;29817;35;17
1579;1579 GIPFEL Сотейник с крышкой (термодатчик) 30 см (литой алюминий);21 200;32615;35;1
1580;1580 GIPFEL Противень-гриль 40х26 см (литой алюминий,индукционное дно);15 620;24033;35;2
1581;1581 GIPFEL Противень-гриль 40х26 см (литой алюминий,индукционное дно);14 890;22905;35;111
1582;1582 GIPFEL Сковорода ZENIT 20x4,2 см - 1,1л (литой алюминий с мраморным ан;9 680;14894;35;3
1582-S;1582-S STAHLBERG Сковорода ZENIT 20x4,2 см - 1,1л (литой алюминий с мраморным ан;9 680;14894;35;5
1586-S;1586-S STAHLBERG Сковорода глубокая ZENIT 24x8 см - 2,8 л (литой алюминий с мрам;11 450;17607;35;1
1587;1587 GIPFEL Сковорода глубокая ZENIT 28 см (литой алюминий с мр;12 790;19678;35;1
1590-S;1590-S STAHLBERG Сковорода-гриль со скошенным краем  ZENIT 28x4,2 см- 2,5 л (лит;15 320;23576;35;1
1591;1591 GIPFEL Сковорода SMART 24х5,5 см съемная бакелитовая ручка в форме Эйфелево;10 300;20606;50;19
1592;1592 GIPFEL Сковорода SMART 28х6,0 см съемная бакелитовая ручка в форме Эйфелев;9 750;19506;50;17
1592-S;1592-S STAHLBERG Сковорода 28х6,0 см съемная бакелитовая ручка в форме Эйфелевой;14 730;22662;35;6
1593;1593 GIPFEL Сковорода SMART 28х9,0 см, съемная бакелитовая ручка в форме Эйфел;18 560;37128;50;13
1593-S;1593-S STAHLBERG Сковорода 28х9,0 см съемная бакелитовая ручка в форме Эйфелевой;23 430;36043;35;1
1594;1594 GIPFEL Сковорода SMART 32х9,5 см съемная бакелитовая ручка в форме Эйфелево;20 390;40769;50;65
1594-S;1594-S STAHLBERG Сковорода 32х9,5 см съемная бакелитовая ручка в форме Эйфелевой;25 730;39584;35;2
1600;1600 GIPFEL Съемная ручка 18см черная для арт: 1480, 2483, 2484, 2485;1 800;2570;30;100
1605;1605 GIPFEL Скороварка ILLUMINE 6,0 л (нерж. сталь);49 040;75441;35;5
1607;1607 GIPFEL Скороварка ILLUMINE 4,0 л (нерж. сталь);46 090;70914;35;4
1610;1610 GIPFEL Скороварка  4,0 л 20x13cm (нерж. сталь);51 050;78540;35;2
1611;1611 GIPFEL Скороварка  5,0 л 20x18cm (нерж. сталь);52 880;81353;35;1
1612;1612 GIPFEL Набор OSTEN 3пр  : сковорода-вок 32х8.7см, ставка в кастрюлю для вар;60 900;93691;35;3
1616;1616 GIPFEL Сковорода-вок OSTEN 32х8,7см /5,2 л со вставкой для варки на пару, с;53 130;81739;35;3
1618;1618 GIPFEL Овальная жаровня OSTEN 38 см/ 7,8 л. со стеклянной крышкой и решетко;43 010;66173;35;3
1620;1620 GIPFEL Сотейник MASSAIA 24x6,5 см/2,9 л., со стеклянной крышкой, ручки с си;25 160;38713;35;2
1621;1621 GIPFEL Сотейник MASSAIA 28x7 см/ 4,3 л., со стеклянной крышкой, ручки с сил;29 340;45139;35;4
1626;1626 GIPFEL Кастрюля MASSAIA 24х13,5 см / 6 л., со стеклянной крышкой, индукцион;28 640;44068;35;7
1628;1628 GIPFEL Сотейник MASSAIA 24х6,5 см / 2,9 л., со стеклянной крышкой, индукцио;26 920;41412;35;6
1629;1629 GIPFEL Сотейник MASSAIA 28х7 см / 4,3 л., со стеклянной крышкой, индукционн;31 410;48323;35;2
1630;1630 GIPFEL Кастрюля для варки спаржи MASSAIA 16х22см / 4,4 л., со стеклянной кр;22 040;33901;35;1
1631;1631 GIPFEL Кастрюля для варки спаржи MASSAIA 20х22 см / 6,9 л., со стеклянной к;26 190;40284;35;1
1632;1632 GIPFEL Пароварка трехъярусная ATTUALITA 20х18 см / 5,6 л., с металлической;21 850;72842;70;4
1633;1633 GIPFEL Пароварка трехъярусная ATTUALITA 24х17 см / 7,7 л., с металлической;25 970;86551;70;2
1634;1634 GIPFEL Ковш ATTUALITA 16х8см/ 1,6 л., с металлической крышкой, индукционное;16 570;25490;35;4
1638;1638 GIPFEL Кастрюля ATTUALITA 24х13,5 см/ 6л., со стеклянной крышкой, индукцион;29 200;44925;35;2
1639;1639 GIPFEL Ковш ATTUALITA 16х8,5 см/ 1,6 л., со стеклянной крышкой, индукционно;18 440;28374;35;6
1640;1640 GIPFEL Сотейник ATTUALITA 24х6,5 см/ 2,9 л., со стеклянной крышкой, индукци;26 430;40655;35;2
1641;1641 GIPFEL Чайник ATTUALITA 2 л ручка с силиконовым покрытием (нерж. сталь);18 040;27760;35;6
1651;1651 GIPFEL Сковорода AROMA 20 см с индукционным дном (литой алюминий с керамиче;5 110;7854;35;1
1652;1652 GIPFEL Сковорода AROMA 24 см с индукционным дном (литой алюминий с керамиче;6 680;10282;35;1
1653;1653 GIPFEL Сковорода AROMA 28 см с индукционным дном (литой алюминий с керамиче;8 120;12495;35;2
1661;1661 GIPFEL Сотейник MONTERO 24x8 см - 3,6 л с индукционным дном с двумя боковым;14 330;22048;35;2
1664;1664 GIPFEL Квадратная сковорода MONTERO 28 см, 4,5л с индукционным дном, со сте;24 890;38299;35;1
1667;1667 GIPFEL Кастрюля ENIGMA 20 см - 2,6 л с индукционным дном, без крышки (литой;12 450;19149;35;6
1668;1668 GIPFEL Кастрюля ENIGMA 24 см с индукционным дном, без крышки (литой алюмин;15 450;23776;35;1
1671;1671 GIPFEL Сковорода BORA 20 см (литой алюминий с антипригарным покрытием Qua;5 370;8268;35;1
1672;1672 GIPFEL Сковорода BORA 24 см (литой алюминий с антипригарным покрытием Qua;7 180;11053;35;3
1673;1673 GIPFEL Сковорода BORA 28 см (литой алюминий с антипригарным покрытием Qua;9 020;13880;35;1
1674;1674 GIPFEL Сковорода COLORADO 20 см с индукционным дном (литой алюминий с ант;4 320;6640;35;1
1676;1676 GIPFEL Сковорода COLORADO 28 см с индукционным дном (литой алюминий с ант;7 910;12167;35;2
1679;1679 GIPFEL Сковорода MELODIE 28 см с индукционным дном (литой алюминий с анти;11 320;17422;35;3
1681;1681 GIPFEL Сковорода COSMOS 20 см (алюминий с антипригарным керамическим покрыт;6 470;9953;35;4
1683;1683 GIPFEL Сковорода COSMOS 28 см (алюминий с антипригарным керамическим покрыт;8 770;13495;35;4
1685;1685 GIPFEL Сковорода GOURMET 24 см (алюминий с антипригарным керамическим покры;6 500;9996;35;1
1686;1686 GIPFEL Сковорода GOURMET 28 см (литой ал. с антипригарным керам покрытием);7 830;12052;35;2
1698;1698 GIPFEL Сковорода 28х5,5 см  (литой алюминий с антипригарным 3-х слойным кре;14 120;21720;35;8
1699;1699 GIPFEL Сковорода 28х5,1 см  (литой алюминий с антипригарным 3-х слойным кре;12 610;19392;35;5
1705;1705 GIPFEL Кастрюля MIRANDA 16х9,5 см/ 1,7 л.  со стеклянной крышкой, индукцинн;12 820;19721;35;7
1706;1706 GIPFEL Набор посуды MIRANDA: Ковш 16х9 см / 1,8 л. со стеклянной крышкой, и;73 260;112712;35;2
1710;1710 GIPFEL Кастрюля MIRANDA 18х11 см / 2,8 л. со стеклянной крышкой, индукцинно;21 470;33030;35;29
1715;1715 GIPFEL Кастрюля MIRANDA18х10,5 см/ 2,4 л. со стеклянной крышкой, индукцинно;17 940;27603;35;22
1720;1720 GIPFEL Кастрюля MIRANDA 16х9,5 см/ 1,9 л. со стальной крышкой, индукцинное;17 190;26446;35;28
1725;1725 GIPFEL Кастрюля MIRANDA 18х11 см/ 2,8 л. со стеклянной крышкой, индукцинное;17 390;26746;35;25
1730;1730 GIPFEL Кастрюля MIRANDA 24х13 см/ 5,9 л. со стальной крышкой, индукцинное д;25 870;39798;35;6
1731;1731 GIPFEL Ковш METROPOLE 16x7.5см / 1.5 л со стеклянной крышкой, ручка с кремниевой частью,силикон;9 220;14180;35;8
1732;1732 GIPFEL Кастрюля METROPOLE 16x7.5 см / 1.5 л со стеклянной крышкой, ручки с кремниевой частью,си;9 420;14494;35;6
1733;1733 GIPFEL Кастрюля METROPOLE 18x8.5 см / 2.1 л со стеклянной крышкой, ручки с кремниевой частью,си;10 740;16522;35;5
1734;1734 GIPFEL Кастрюля METROPOLE 20x9.5 см / 2.9 л со стеклянной крышкой, ручки с кремниевой частью,си;12 280;18892;35;4
1735;1735 GIPFEL Кастрюля METROPOLE 24x11.2 см / 5.2 л с крышкой (нерж. сталь);14 990;23062;35;2
1736;1736 GIPFEL Кастрюля METROPOLE 24x15.5 см / 7 л с крышкой (нерж. сталь);17 980;27660;35;3
1737;1737 GIPFEL Набор посуды MIRANDA: Ковш 16х9 см / 1,8 л. со стеклянной крышкой, и;62 520;96190;35;1
1737-S;1737-S STAHLBERG Набор посуды MIRANDA: Ковш 16х9 см / 1,8 л. со стеклянной крышк;62 520;96190;35;1
1741;1741 GIPFEL Ковш SERENADE 16x7.5см / 1.5 л с крышкой (нерж. сталь);8 390;11981;30;7
1742;1742 GIPFEL Кастрюля SERENADE 16x7.5 см / 1.5 л с крышкой (нерж. сталь);9 090;12980;30;18
1743;1743 GIPFEL Кастрюля SERENADE 18x8.5 см / 2.1 л с крышкой (нерж. сталь);10 390;14837;30;19
1744;1744 GIPFEL Кастрюля SERENADE 20x9.5 см / 3.0 л с крышкой (нерж. сталь);11 530;16465;30;18
1745;1745 GIPFEL Кастрюля SERENADE 24x11.5 см / 5.2 л с крышкой (нерж. сталь);15 650;22362;30;22
1746;1746 GIPFEL Кастрюля SERENADE 24x15.5 см / 7 л с крышкой (нерж. сталь);16 460;23519;30;19
1747;1747 GIPFEL Кастрюля MIRANDA 18х11 см/ 2,8 л. со стеклянной крышкой, индукцинное;17 130;26347;35;3
1747-S;1747-S STAHLBERG Кастрюля MIRANDA 18х11 см/ 2,8 л. со стеклянной крышкой, индукц;17 130;26347;35;18
1748;1748 GIPFEL Набор посуды MIRANDA: Ковш 16х7,5 см / 1,5 л. со стеклянной крышкой,;99 999;162849;35;1
1749;1749 GIPFEL Кастрюля MIRANDA 20х9,5 см/ 3 л. со стеклянной крышкой, индукцинное;24 170;37185;35;4
1752;1752 GIPFEL Кастрюля GENESIS 16x9 см / 1,5 л блестящая полировка (нерж. сталь);12 380;19049;35;5
1754;1754 GIPFEL Кастрюля GENESIS 20x12 см / 3,2 л блестящая полировка (нерж. сталь);16 020;24647;35;1
1760;1760 GIPFEL Сотейник MIRANDA 28х8 см/ 4,9 л. со стальной крышкой, индукцинное дн;25 840;39755;35;1
1760-S;1760-S STAHLBERG Сотейник MIRANDA 28х8 см/ 4,9 л. со стальной крышкой, индукцинн;25 840;39755;35;5
1762;1762 GIPFEL Кастрюля  STELLA  16X9.5 см / 1,9 л. с крышкой (нерж. сталь);10 800;16622;35;2
1763;1763 GIPFEL Кастрюля  STELLA 20x11.5 см / 3,6 л. с крышкой (нерж. сталь);13 900;21377;35;1
1764;1764 GIPFEL Кастрюля  STELLA 24x13.5 см / 5,2 л. с крышкой (нерж. сталь);18 480;28431;35;9
1765;1765 GIPFEL Кастрюля  STELLA 28x16.0 см/ 9,8 л. с крышкой (нерж. сталь);24 660;37942;35;1
1766;1766 GIPFEL Ковш LILAS 16х7,5см/1,5л со стеклянной крышкой, с капсульным дном. М;13 010;18578;30;12
1767;1767 GIPFEL Кастрюля LILAS 20х10см/3,1л со стеклянной крышкой, с капсульным дном;17 150;24504;30;12
1768;1768 GIPFEL Кастрюля LILAS 24х12см/5,4л со стеклянной крышкой, с капсульным дном;20 650;29502;30;12
1769;1769 GIPFEL Сковорода LILAS 24х5,5см с капсульным дном. Материал: нерж. сталь 18;12 780;18250;30;12
1770;1770 GIPFEL Сковорода LILAS 28х7см с капсульным дном. Материал: нерж. сталь 18/1;15 770;22534;30;12
1788-S;1788-S STAHLBERG Ковш MINI 12х5 см/ 06 л (Керамическое пок;5 760;8868;35;3
1789-S;1789-S STAHLBERG Ковш MINI 14х7,5 см/ 1,2 л (Керамическое;7 070;10881;35;1
1790-S;1790-S STAHLBERG Набор посуды MINI 6пр : 2 Кастрюли со стеклянной крышками 0,6л,;11 860;18250;35;17
1791;1791 GIPFEL Сковорода без крышки 20х4,8 см красная индукционное дно литой алюмин;9 130;18250;50;28
1792;1792 GIPFEL Сковорода без крышки 20х4,8 см синяя индукционное дно литой алюминий;9 580;19149;50;13
1793;1793 GIPFEL Сковорода без крышки 20х4,8 см черная индукционное дно литой алюмини;9 130;18250;50;32
1794;1794 GIPFEL Сковорода без крышки 24х5,3 см красная индукционное дно литой алюмин;10 810;21620;50;24
1795;1795 GIPFEL Сковорода без крышки 24х5,3 см синяя индукционное дно литой алюминий;14 050;21620;35;4
1796;1796 GIPFEL Сковорода без крышки 24х5,3 см черная индукционное дно литой алюмини;10 810;21620;50;21
1797;1797 GIPFEL Сковорода без крышки 28х6,0 см красная индукционное дно литой алюмин;13 650;27303;50;33
1798;1798 GIPFEL Сковорода без крышки 28х6,0  см синяя индукционное дно литой алюмини;13 650;27303;50;18
1799;1799 GIPFEL Сковорода без крышки 28х6,0  см черная индукционное дно литой алюмин;13 650;27303;50;16
1800;1800 GIPFEL Сковорода FLAVOUR 16х3.7 см  (алюминий, двухслойное антипригарное по;3 710;5712;35;1
1802;1802 GIPFEL Сковорода FLAVOUR 24х5 см  (алюминий, двухслойное антипригарное;5 980;9196;35;4
1803;1803 GIPFEL Сковорода 28х5,5 см ( (алюминий, двухслойное антипригарное покрытие,;7 330;11281;35;4
1804;1804 GIPFEL Набор посуды KORNELIA 8 пр (нерж. сталь);92 970;143028;35;1
1804-S;1804-S STAHLBERG Набор посуды KORNELIA 8 пр с крышками (нерж. сталь);92 970;143028;35;1
1806;1806 GIPFEL Набор посуды MADELINA 4 пр со стеклянными крышками (нерж. сталь);44 510;68472;35;1
1808;1808 GIPFEL Набор посуды FIONA 10 пр (нерж. сталь);92 680;142585;35;1
1809-S;1809-S STAHLBERG Набор посуды MARIANA 8 пр со стеклянными крышками (нерж. сталь);99 999;166005;35;2
1810-S;1810-S STAHLBERG Пароварка 24х14 см со стеклянной крышкой (нерж. сталь);32 790;46838;30;9
1811;1811 GIPFEL Пароварка 3х ярусная с крышкой 28х12см*3 яруса (нерж.ст);37 840;58219;35;3
1811-S;1811-S STAHLBERG Пароварка DONELLA 3пр 28х12 см, 6л со стеклянной крышкой (нерж.;30 360;46710;35;2
1812;1812 GIPFEL Пароварка 4х ярусная с крышкой 30х15см*4 яруса (нерж.ст);64 590;99374;35;3
1813;1813 GIPFEL Пароварка трёхярусная DONELLA 32х16 см, 11л со стек кр (нерж. сталь);67 130;95904;30;50
1814;1814 GIPFEL Кастрюля MARIANA 24х15 см, 6л со стеклянной крышкой (нерж. сталь);27 390;42140;35;2
1815;1815 GIPFEL Сотейник MARIANA 24х6,5 см со стеклянной крышкой, съёмкой ручкой (н;24 370;37499;35;1
1820;1820 GIPFEL Ковш NORUM 16х8,5см со стеклянной крышкой (нерж. сталь);14 170;21806;35;7
1821;"1821 GIPFEL Кастрюля со стеклянной крышкой 16x9.5cm 1.7L “NORUM"" (нерж.сталь)";13 680;21049;35;19
1822;"1822 GIPFEL Кастрюля со стеклянной крышкой 18x10.5cm 2.5L  “NORUM"" (нерж.сталь)";15 070;23191;35;1
1824;1824 GIPFEL Кастрюля NORUM 24х13,5см со стеклянной крышкой (нерж. сталь);21 260;32701;35;1
1825;"1825 GIPFEL Кастрюля со стеклянной крышкой 24x17cm 7.2L “NORUM"" (нерж.сталь)";23 380;35971;35;5
1826;1826 GIPFEL Ковш FORO 16х7,5см 1,5л стеклянная крышка с черным силиконовым кольц;17 220;26489;35;21
1827;1827 GIPFEL Кастрюля FORO 20х12см 3,6л стеклянная крышка с черным силиконовым ко;23 840;36671;35;3
1828;1828 GIPFEL Кастрюля FORO 24х13,5см 6,1л стеклянная крышка с черным силиконовым;27 480;42283;35;2
1835;1835 GIPFEL Форма для выпечки MARBLE разъемная 26x26x7см круглая с антипригарным;;4880;;48
1841;1841 GIPFEL Ковш LAREN 16х7,5см с крышкой (нерж. сталь);17 710;27246;35;7
1842;1842 GIPFEL Кастрюля LAREN 20х12см с крышкой (нерж. сталь);19 120;29417;35;2
1843;1843 GIPFEL Кастрюля LAREN 24х13,5см с крышкой (нерж. сталь);22 620;34800;35;30
1844;1844 GIPFEL Кастрюля LAREN 24х17см с крышкой (нерж. сталь);26 060;40084;35;1
1845;1845 GIPFEL Ковш NULLA 16х7,5см со стеклянной крышкой (нерж. сталь);16 610;25547;35;4
1846;1846 GIPFEL Кастрюля NULLA 16х9,5см со стеклянной крышкой (нерж. сталь);16 290;25061;35;12
1853;1853 GIPFEL Форма для выпечки круглого кекса 24х8 см;3 710;5712;35;4
1854;1854 GIPFEL Форма для выпечки пиццы 30x1 см;2 300;3541;35;127
1855;1855 GIPFEL Форма для выпечки прямоугольного кекса 21x10x6 см;1 700;2613;35;13
1855-1856;1855-1856 GIPFEL Форма для выпечки прямоугольного кекса 21x10x6 см + 24х13х6 см;3 680;5655;35;10
1857;1857 GIPFEL Форма для запекания прямоугольная 37x26x7 см;8 480;13052;35;2
1858;"1858 GIPFEL Форма для выпечки кекса ""Сердце"" 24x4 см";2 460;3784;35;112
1862;1862 GIPFEL Форма для жаркого и выпечки прямоугольная 25x19 см с антипригарным п;2 090;3213;35;8
